product_id,ingredient_id,ingredient_name,ingredient_category,function_category,functional_claim,daily_intake,recognition_type,caution,evidence_note,source_system
HF202600035,ING0023,코엔자임Q10,식물추출물,항산화,항산화에 도움을 줄 수 있음,90-100 mg,고시형,의약품 복용자는 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600026,ING0024,폴리코사놀-사탕수수왁스알코올,비타민/무기질,혈중 콜레스테롤 개선,혈중 콜레스테롤 개선에 도움을 줄 수 있음,5-20 mg,개별인정형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600018,ING0025,가르시니아캄보지아추출물,기능성원료,체지방 감소,체지방 감소에 도움을 줄 수 있음,750-2800 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600058,ING0026,아연,비타민/무기질,정상적인 면역기능,정상적인 면역기능에 도움을 줄 수 있음,2.55-12 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600030,ING0027,마그네슘,지방산/지질류,에너지 이용,에너지 이용에 도움을 줄 수 있음,94.5-250 mg,고시형,어린이 손에 닿지 않는 곳에 보관,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600009,ING0028,칼슘,식물추출물,뼈와 치아 형성,뼈와 치아 형성에 도움을 줄 수 있음,210-800 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600013,ING0029,비타민C,비타민/무기질,항산화,항산화에 도움을 줄 수 있음,30-1000 mg,고시형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600031,ING0030,엽산,지방산/지질류,세포와 혈액 생성,세포와 혈액 생성에 도움을 줄 수 있음,400 ug,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600042,ING0031,철,식물추출물,체내 산소운반,체내 산소운반에 도움을 줄 수 있음,3.6-15 mg,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600036,ING0032,쏘팔메토열매추출물,발효미생물류,전립선 건강,전립선 건강에 도움을 줄 수 있음,115 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600020,ING0033,루테인,비타민/무기질,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600038,ING0034,비타민D,지방산/지질류,뼈 건강,뼈 건강에 도움을 줄 수 있음,10-25 ug,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600021,ING0035,프로바이오틱스,비타민/무기질,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600067,ING0036,EPA 및 DHA 함유 유지,식물추출물,혈행 개선,혈행 개선에 도움을 줄 수 있음,500-2000 mg,고시형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600043,ING0037,밀크씨슬추출물,지방산/지질류,간 건강,간 건강에 도움을 줄 수 있음,130 mg,고시형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600049,ING0039,코엔자임Q10,발효미생물류,항산화,항산화에 도움을 줄 수 있음,90-100 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600028,ING0040,폴리코사놀-사탕수수왁스알코올,식물추출물,혈중 콜레스테롤 개선,혈중 콜레스테롤 개선에 도움을 줄 수 있음,5-20 mg,개별인정형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600027,ING0041,가르시니아캄보지아추출물,발효미생물류,체지방 감소,체지방 감소에 도움을 줄 수 있음,750-2800 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600063,ING0042,아연,지방산/지질류,정상적인 면역기능,정상적인 면역기능에 도움을 줄 수 있음,2.55-12 mg,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600044,ING0043,마그네슘,지방산/지질류,에너지 이용,에너지 이용에 도움을 줄 수 있음,94.5-250 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600029,ING0044,칼슘,지방산/지질류,뼈와 치아 형성,뼈와 치아 형성에 도움을 줄 수 있음,210-800 mg,고시형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600016,ING0045,비타민C,발효미생물류,항산화,항산화에 도움을 줄 수 있음,30-1000 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600051,ING0046,엽산,발효미생물류,세포와 혈액 생성,세포와 혈액 생성에 도움을 줄 수 있음,400 ug,고시형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600061,ING0047,철,발효미생물류,체내 산소운반,체내 산소운반에 도움을 줄 수 있음,3.6-15 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600069,ING0048,쏘팔메토열매추출물,지방산/지질류,전립선 건강,전립선 건강에 도움을 줄 수 있음,115 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600025,ING0049,루테인,발효미생물류,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600045,ING0050,비타민D,식물추출물,뼈 건강,뼈 건강에 도움을 줄 수 있음,10-25 ug,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600037,ING0051,프로바이오틱스,비타민/무기질,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,의약품 복용자는 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600085,ING0052,EPA 및 DHA 함유 유지,지방산/지질류,혈행 개선,혈행 개선에 도움을 줄 수 있음,500-2000 mg,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600046,ING0053,밀크씨슬추출물,발효미생물류,간 건강,간 건강에 도움을 줄 수 있음,130 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600053,ING0055,코엔자임Q10,지방산/지질류,항산화,항산화에 도움을 줄 수 있음,90-100 mg,고시형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600039,ING0056,폴리코사놀-사탕수수왁스알코올,발효미생물류,혈중 콜레스테롤 개선,혈중 콜레스테롤 개선에 도움을 줄 수 있음,5-20 mg,개별인정형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600034,ING0057,가르시니아캄보지아추출물,식물추출물,체지방 감소,체지방 감소에 도움을 줄 수 있음,750-2800 mg,고시형,의약품 복용자는 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600054,ING0059,마그네슘,비타민/무기질,에너지 이용,에너지 이용에 도움을 줄 수 있음,94.5-250 mg,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600057,ING0060,칼슘,비타민/무기질,뼈와 치아 형성,뼈와 치아 형성에 도움을 줄 수 있음,210-800 mg,고시형,의약품 복용자는 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600056,ING0061,비타민C,발효미생물류,항산화,항산화에 도움을 줄 수 있음,30-1000 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600095,ING0062,엽산,기능성원료,세포와 혈액 생성,세포와 혈액 생성에 도움을 줄 수 있음,400 ug,고시형,과다 섭취 시 위장장애 가능,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600068,ING0063,철,지방산/지질류,체내 산소운반,체내 산소운반에 도움을 줄 수 있음,3.6-15 mg,고시형,어린이 손에 닿지 않는 곳에 보관,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600075,ING0064,쏘팔메토열매추출물,지방산/지질류,전립선 건강,전립선 건강에 도움을 줄 수 있음,115 mg,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600040,ING0065,루테인,발효미생물류,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,의약품 복용자는 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600073,ING0066,비타민D,식물추출물,뼈 건강,뼈 건강에 도움을 줄 수 있음,10-25 ug,고시형,의약품 복용자는 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600062,ING0067,프로바이오틱스,기능성원료,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,어린이 손에 닿지 않는 곳에 보관,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600098,ING0068,EPA 및 DHA 함유 유지,기능성원료,혈행 개선,혈행 개선에 도움을 줄 수 있음,500-2000 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600048,ING0069,밀크씨슬추출물,발효미생물류,간 건강,간 건강에 도움을 줄 수 있음,130 mg,고시형,임산부와 수유부는 섭취 전 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600072,ING0071,코엔자임Q10,지방산/지질류,항산화,항산화에 도움을 줄 수 있음,90-100 mg,고시형,어린이 손에 닿지 않는 곳에 보관,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600050,ING0072,폴리코사놀-사탕수수왁스알코올,발효미생물류,혈중 콜레스테롤 개선,혈중 콜레스테롤 개선에 도움을 줄 수 있음,5-20 mg,개별인정형,의약품 복용자는 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600041,ING0073,가르시니아캄보지아추출물,식물추출물,체지방 감소,체지방 감소에 도움을 줄 수 있음,750-2800 mg,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600071,ING0075,마그네슘,발효미생물류,에너지 이용,에너지 이용에 도움을 줄 수 있음,94.5-250 mg,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600080,ING0076,칼슘,기능성원료,뼈와 치아 형성,뼈와 치아 형성에 도움을 줄 수 있음,210-800 mg,고시형,의약품 복용자는 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600060,ING0077,비타민C,발효미생물류,항산화,항산화에 도움을 줄 수 있음,30-1000 mg,고시형,의약품 복용자는 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600088,ING0079,철,발효미생물류,체내 산소운반,체내 산소운반에 도움을 줄 수 있음,3.6-15 mg,고시형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600093,ING0080,쏘팔메토열매추출물,기능성원료,전립선 건강,전립선 건강에 도움을 줄 수 있음,115 mg,고시형,과다 섭취 시 위장장애 가능,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600047,ING0081,루테인,기능성원료,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,어린이 손에 닿지 않는 곳에 보관,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600064,ING0083,프로바이오틱스,비타민/무기질,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,어린이 손에 닿지 않는 곳에 보관,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600100,ING0084,EPA 및 DHA 함유 유지,비타민/무기질,혈행 개선,혈행 개선에 도움을 줄 수 있음,500-2000 mg,고시형,의약품 복용자는 전문가와 상담,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600059,ING0085,밀크씨슬추출물,기능성원료,간 건강,간 건강에 도움을 줄 수 있음,130 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600082,ING0087,코엔자임Q10,발효미생물류,항산화,항산화에 도움을 줄 수 있음,90-100 mg,고시형,특이체질 및 알레르기 체질은 원료 확인 후 섭취,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600052,ING0088,폴리코사놀-사탕수수왁스알코올,식물추출물,혈중 콜레스테롤 개선,혈중 콜레스테롤 개선에 도움을 줄 수 있음,5-20 mg,개별인정형,과다 섭취 시 위장장애 가능,개별인정형 원료 인정내용 기준,식품안전나라 건강기능식품 데이터 샘플
HF202600079,ING0089,가르시니아캄보지아추출물,발효미생물류,체지방 감소,체지방 감소에 도움을 줄 수 있음,750-2800 mg,고시형,어린이 손에 닿지 않는 곳에 보관,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600090,ING0091,마그네슘,지방산/지질류,에너지 이용,에너지 이용에 도움을 줄 수 있음,94.5-250 mg,고시형,의약품 복용자는 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600091,ING0092,칼슘,비타민/무기질,뼈와 치아 형성,뼈와 치아 형성에 도움을 줄 수 있음,210-800 mg,고시형,과다 섭취 시 위장장애 가능,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600076,ING0093,비타민C,비타민/무기질,항산화,항산화에 도움을 줄 수 있음,30-1000 mg,고시형,과다 섭취 시 위장장애 가능,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
HF202600074,ING0097,루테인,기능성원료,눈 건강,눈 건강에 도움을 줄 수 있음,20 mg,고시형,의약품 복용자는 전문가와 상담,제품 표시사항 확인 필요,식품안전나라 건강기능식품 데이터 샘플
HF202600077,ING0099,프로바이오틱스,기능성원료,장 건강,장 건강에 도움을 줄 수 있음,1억-100억 CFU,고시형,의약품 복용자는 전문가와 상담,식약처 고시 기준 기능성,식품안전나라 건강기능식품 데이터 샘플
