product_id,product_name,serving_size,servings_per_day,energy_kcal,carbohydrate_g,protein_g,fat_g,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_e_mg,vitamin_b1_mg,vitamin_b2_mg,vitamin_b6_mg,folic_acid_ug,calcium_mg,magnesium_mg,zinc_mg,iron_mg,selenium_ug,epa_dha_mg,lutein_mg,probiotics_cfu
HF202600069,쏘팔메토열매추출물 플러스 069,1병,1,15,4.0,1.7,0.1,1000,500,10,11,0.6,1.4,0.75,800,700,0,12,15,100,1200,20,0
HF202600071,마그네슘 플러스 071,1병,3,35,2.5,0.7,0.0,0,100,50,0,0,0.7,1.5,400,400,250,2.55,15,55,1200,0,10000000000
HF202600072,코엔자임Q10 플러스 072,1병,2,10,0.3,0.1,1.4,0,100,0,5.5,0.6,0.7,0.75,400,700,250,2.55,15,16.5,500,20,10000000000
HF202600073,비타민D 플러스 073,2캡슐,1,35,3.1,0.4,1.2,1000,0,10,5.5,1.2,0,0,200,400,150,2.55,15,0,900,20,10000000000
HF202600074,루테인 플러스 074,1포,1,20,1.9,0.8,0.2,700,500,10,11,0,0.7,1.5,0,210,150,0,3.6,55,500,20,10000000000
HF202600075,쏘팔메토열매추출물 플러스 075,2캡슐,3,5,2.9,0.8,1.0,350,1000,10,20,1.2,0.7,0.75,400,700,0,8.5,0,100,500,0,10000000000
HF202600076,비타민C 플러스 076,1포,3,35,2.5,1.4,0.8,1000,500,10,0,0,0.7,1.5,0,400,94.5,8.5,3.6,100,1200,20,0
HF202600077,프로바이오틱스 플러스 077,1포,1,10,3.9,1.6,0.7,0,500,10,20,0,0.7,1.5,0,700,150,8.5,0,100,0,0,100000000
HF202600079,가르시니아캄보지아추출물 플러스 079,1정,1,35,0.6,1.7,0.5,700,50,50,20,0.6,1.4,3,800,700,0,0,15,55,900,10,10000000000
HF202600080,칼슘 플러스 080,1캡슐,3,0,4.3,1.7,0.2,1000,100,0,20,0.6,2.8,0.75,800,400,150,8.5,8,16.5,1200,10,0
HF202600082,코엔자임Q10 플러스 082,1정,2,35,1.5,1.4,0.5,0,0,0,5.5,2.4,0,0.75,200,700,0,0,8,0,1200,20,100000000
HF202600083,홍삼 플러스 083,2캡슐,1,5,1.9,1.5,0.2,700,100,25,5.5,2.4,0.7,0.75,0,0,94.5,12,8,16.5,500,10,10000000000
HF202600085,EPA 및 DHA 함유 유지 플러스 085,2정,2,15,0.6,1.0,1.2,0,100,25,5.5,2.4,2.8,1.5,200,700,0,0,0,0,900,0,0
HF202600088,철 플러스 088,1병,1,0,1.7,0.9,1.0,700,1000,0,20,2.4,1.4,0,800,210,150,2.55,8,0,0,0,0
HF202600090,마그네슘 플러스 090,2캡슐,1,15,4.3,1.5,0.6,0,1000,50,0,1.2,0.7,1.5,400,210,250,8.5,15,16.5,500,0,0
HF202600091,칼슘 플러스 091,2캡슐,1,5,2.7,1.3,1.4,0,100,0,20,1.2,0,0.75,200,700,250,0,3.6,55,0,0,100000000
HF202600093,쏘팔메토열매추출물 플러스 093,1캡슐,1,0,4.7,0.3,1.5,0,50,0,5.5,2.4,2.8,1.5,800,0,150,2.55,15,55,1200,10,0
HF202600095,엽산 플러스 095,1정,2,0,4.0,0.3,0.0,350,50,10,20,1.2,0,1.5,0,0,0,2.55,15,16.5,0,10,0
HF202600098,EPA 및 DHA 함유 유지 플러스 098,1정,1,20,1.1,1.8,1.6,0,500,25,5.5,0.6,0,0.75,200,400,0,2.55,15,55,500,0,100000000
HF202600100,EPA 및 DHA 함유 유지 플러스 100,1정,1,20,1.0,0.3,1.4,700,0,0,5.5,0.6,0,1.5,0,400,250,0,8,55,900,0,100000000
