product_id,product_name,report_no,company_name,company_address,product_type,form_type,manufacture_type,status,report_date,expire_months
HF202600023,코엔자임Q10 플러스 023,2026-강원원주-00023,스마트바이오,강원특별자치도 원주시 혁신로 194,건강기능식품,젤리,국내제조,판매중,2024-03-28,30
HF202600024,철 플러스 024,2026-강원원주-00024,스마트바이오,강원특별자치도 원주시 혁신로 116,건강기능식품,정제,국내제조,판매중,2022-05-12,30
HF202600025,루테인 플러스 025,2026-강원원주-00025,웰니스코리아,강원특별자치도 원주시 혁신로 142,건강기능식품,캡슐,국내제조,판매중,2022-05-26,18
HF202600026,폴리코사놀-사탕수수왁스알코올 플러스 026,2026-강원원주-00026,뉴트리랩스,강원특별자치도 원주시 혁신로 9,건강기능식품,츄어블정,수입,판매중,2024-11-18,24
HF202600027,가르시니아캄보지아추출물 플러스 027,2026-강원원주-00027,라이프뉴트리,강원특별자치도 원주시 혁신로 55,건강기능식품,액상,국내제조,판매중지,2025-03-26,36
HF202600028,폴리코사놀-사탕수수왁스알코올 플러스 028,2026-강원원주-00028,라이프뉴트리,강원특별자치도 원주시 혁신로 105,건강기능식품,캡슐,국내제조,판매중,2025-09-11,36
HF202600029,칼슘 플러스 029,2026-강원원주-00029,메디푸드,강원특별자치도 원주시 혁신로 106,건강기능식품,분말,국내제조,판매중,2022-05-05,36
HF202600030,마그네슘 플러스 030,2026-강원원주-00030,뉴트리랩스,강원특별자치도 원주시 혁신로 64,건강기능식품,캡슐,국내제조,판매중지,2024-07-07,24
HF202600031,엽산 플러스 031,2026-강원원주-00031,한국건강식품,강원특별자치도 원주시 혁신로 72,건강기능식품,분말,국내제조,판매중,2024-06-26,18
HF202600032,비타민D 플러스 032,2026-강원원주-00032,스마트바이오,강원특별자치도 원주시 혁신로 4,건강기능식품,정제,국내제조,판매중,2024-04-12,36
HF202600033,쏘팔메토열매추출물 플러스 033,2026-강원원주-00033,바이오케어,강원특별자치도 원주시 혁신로 103,건강기능식품,정제,국내제조,품목변경,2022-01-05,36
HF202600034,가르시니아캄보지아추출물 플러스 034,2026-강원원주-00034,라이프뉴트리,강원특별자치도 원주시 혁신로 74,건강기능식품,분말,수입,판매중,2023-01-24,30
HF202600035,코엔자임Q10 플러스 035,2026-강원원주-00035,오픈헬스바이오,강원특별자치도 원주시 혁신로 149,건강기능식품,젤리,국내제조,판매중,2022-04-28,18
HF202600036,쏘팔메토열매추출물 플러스 036,2026-강원원주-00036,스마트바이오,강원특별자치도 원주시 혁신로 136,건강기능식품,캡슐,국내제조,판매중지,2022-06-14,24
HF202600037,프로바이오틱스 플러스 037,2026-강원원주-00037,웰니스코리아,강원특별자치도 원주시 혁신로 18,건강기능식품,젤리,국내제조,품목변경,2022-09-03,24
HF202600038,비타민D 플러스 038,2026-강원원주-00038,웰니스코리아,강원특별자치도 원주시 혁신로 21,건강기능식품,분말,수입,판매중,2023-02-23,30
HF202600039,폴리코사놀-사탕수수왁스알코올 플러스 039,2026-강원원주-00039,그린웰니스,강원특별자치도 원주시 혁신로 102,건강기능식품,캡슐,수입,품목변경,2023-10-10,18
HF202600040,루테인 플러스 040,2026-강원원주-00040,라이프뉴트리,강원특별자치도 원주시 혁신로 160,건강기능식품,액상,국내제조,판매중,2025-01-06,24
HF202600041,가르시니아캄보지아추출물 플러스 041,2026-강원원주-00041,한국건강식품,강원특별자치도 원주시 혁신로 90,건강기능식품,정제,국내제조,판매중,2023-08-07,24
HF202600042,철 플러스 042,2026-강원원주-00042,스마트바이오,강원특별자치도 원주시 혁신로 181,건강기능식품,연질캡슐,국내제조,판매중지,2023-09-06,18
HF202600043,밀크씨슬추출물 플러스 043,2026-강원원주-00043,그린웰니스,강원특별자치도 원주시 혁신로 30,건강기능식품,정제,국내제조,판매중,2023-08-01,24
HF202600044,마그네슘 플러스 044,2026-강원원주-00044,바이오케어,강원특별자치도 원주시 혁신로 176,건강기능식품,젤리,수입,판매중지,2024-09-27,30
HF202600045,비타민D 플러스 045,2026-강원원주-00045,뉴트리랩스,강원특별자치도 원주시 혁신로 163,건강기능식품,분말,수입,판매중,2022-01-08,30
HF202600046,밀크씨슬추출물 플러스 046,2026-강원원주-00046,그린웰니스,강원특별자치도 원주시 혁신로 42,건강기능식품,젤리,수입,판매중지,2025-12-16,36
HF202600047,루테인 플러스 047,2026-강원원주-00047,뉴트리랩스,강원특별자치도 원주시 혁신로 20,건강기능식품,젤리,국내제조,판매중지,2022-03-15,30
HF202600048,밀크씨슬추출물 플러스 048,2026-강원원주-00048,메디푸드,강원특별자치도 원주시 혁신로 33,건강기능식품,정제,수입,판매중,2022-03-23,30
HF202600049,코엔자임Q10 플러스 049,2026-강원원주-00049,바이오케어,강원특별자치도 원주시 혁신로 171,건강기능식품,정제,수입,판매중지,2024-04-12,24
HF202600050,폴리코사놀-사탕수수왁스알코올 플러스 050,2026-강원원주-00050,한국건강식품,강원특별자치도 원주시 혁신로 46,건강기능식품,분말,국내제조,판매중,2026-02-17,30
HF202600051,엽산 플러스 051,2026-강원원주-00051,바이오케어,강원특별자치도 원주시 혁신로 69,건강기능식품,캡슐,국내제조,품목변경,2022-03-21,36
HF202600052,폴리코사놀-사탕수수왁스알코올 플러스 052,2026-강원원주-00052,바이오케어,강원특별자치도 원주시 혁신로 118,건강기능식품,연질캡슐,수입,판매중,2023-04-02,18
HF202600053,코엔자임Q10 플러스 053,2026-강원원주-00053,메디푸드,강원특별자치도 원주시 혁신로 85,건강기능식품,연질캡슐,국내제조,판매중,2023-12-21,36
HF202600054,마그네슘 플러스 054,2026-강원원주-00054,오픈헬스바이오,강원특별자치도 원주시 혁신로 30,건강기능식품,연질캡슐,국내제조,판매중지,2023-06-28,18
HF202600055,EPA 및 DHA 함유 유지 플러스 055,2026-강원원주-00055,웰니스코리아,강원특별자치도 원주시 혁신로 112,건강기능식품,연질캡슐,수입,품목변경,2025-05-26,18
HF202600056,비타민C 플러스 056,2026-강원원주-00056,웰니스코리아,강원특별자치도 원주시 혁신로 49,건강기능식품,연질캡슐,국내제조,품목변경,2022-01-04,24
HF202600057,칼슘 플러스 057,2026-강원원주-00057,메디푸드,강원특별자치도 원주시 혁신로 18,건강기능식품,젤리,수입,판매중지,2023-10-05,18
HF202600058,아연 플러스 058,2026-강원원주-00058,스마트바이오,강원특별자치도 원주시 혁신로 80,건강기능식품,젤리,수입,판매중,2024-04-04,30
HF202600059,밀크씨슬추출물 플러스 059,2026-강원원주-00059,바이오케어,강원특별자치도 원주시 혁신로 108,건강기능식품,젤리,수입,판매중,2025-06-14,30
HF202600060,비타민C 플러스 060,2026-강원원주-00060,스마트바이오,강원특별자치도 원주시 혁신로 1,건강기능식품,연질캡슐,수입,판매중,2024-05-30,30
HF202600061,철 플러스 061,2026-강원원주-00061,라이프뉴트리,강원특별자치도 원주시 혁신로 114,건강기능식품,젤리,국내제조,판매중지,2024-08-27,24
HF202600062,프로바이오틱스 플러스 062,2026-강원원주-00062,그린웰니스,강원특별자치도 원주시 혁신로 132,건강기능식품,젤리,수입,판매중,2026-03-19,24
HF202600063,아연 플러스 063,2026-강원원주-00063,바이오케어,강원특별자치도 원주시 혁신로 51,건강기능식품,캡슐,국내제조,판매중,2023-05-17,36
HF202600064,프로바이오틱스 플러스 064,2026-강원원주-00064,라이프뉴트리,강원특별자치도 원주시 혁신로 107,건강기능식품,젤리,국내제조,품목변경,2024-10-09,36
HF202600067,EPA 및 DHA 함유 유지 플러스 067,2026-강원원주-00067,라이프뉴트리,강원특별자치도 원주시 혁신로 35,건강기능식품,츄어블정,수입,판매중지,2025-02-18,30
HF202600068,철 플러스 068,2026-강원원주-00068,웰니스코리아,강원특별자치도 원주시 혁신로 185,건강기능식품,액상,수입,판매중지,2024-07-02,24
HF202600069,쏘팔메토열매추출물 플러스 069,2026-강원원주-00069,라이프뉴트리,강원특별자치도 원주시 혁신로 67,건강기능식품,츄어블정,국내제조,판매중,2026-04-18,36
HF202600071,마그네슘 플러스 071,2026-강원원주-00071,스마트바이오,강원특별자치도 원주시 혁신로 21,건강기능식품,캡슐,국내제조,판매중,2024-02-24,24
HF202600072,코엔자임Q10 플러스 072,2026-강원원주-00072,뉴트리랩스,강원특별자치도 원주시 혁신로 107,건강기능식품,분말,수입,판매중지,2024-08-12,36
HF202600073,비타민D 플러스 073,2026-강원원주-00073,바이오케어,강원특별자치도 원주시 혁신로 108,건강기능식품,분말,국내제조,판매중지,2024-02-19,36
HF202600074,루테인 플러스 074,2026-강원원주-00074,헬스밸런스,강원특별자치도 원주시 혁신로 77,건강기능식품,츄어블정,수입,품목변경,2025-01-07,24
HF202600075,쏘팔메토열매추출물 플러스 075,2026-강원원주-00075,바이오케어,강원특별자치도 원주시 혁신로 70,건강기능식품,분말,수입,판매중,2024-03-07,30
HF202600076,비타민C 플러스 076,2026-강원원주-00076,한국건강식품,강원특별자치도 원주시 혁신로 120,건강기능식품,캡슐,국내제조,품목변경,2025-04-27,18
HF202600077,프로바이오틱스 플러스 077,2026-강원원주-00077,메디푸드,강원특별자치도 원주시 혁신로 35,건강기능식품,츄어블정,수입,판매중,2022-04-13,30
HF202600079,가르시니아캄보지아추출물 플러스 079,2026-강원원주-00079,메디푸드,강원특별자치도 원주시 혁신로 65,건강기능식품,츄어블정,국내제조,품목변경,2022-02-09,18
HF202600080,칼슘 플러스 080,2026-강원원주-00080,바이오케어,강원특별자치도 원주시 혁신로 167,건강기능식품,정제,국내제조,판매중,2023-05-22,24
HF202600082,코엔자임Q10 플러스 082,2026-강원원주-00082,라이프뉴트리,강원특별자치도 원주시 혁신로 180,건강기능식품,연질캡슐,수입,판매중,2025-05-25,18
HF202600083,홍삼 플러스 083,2026-강원원주-00083,그린웰니스,강원특별자치도 원주시 혁신로 28,건강기능식품,액상,국내제조,판매중,2025-03-25,36
HF202600085,EPA 및 DHA 함유 유지 플러스 085,2026-강원원주-00085,웰니스코리아,강원특별자치도 원주시 혁신로 11,건강기능식품,연질캡슐,수입,판매중,2022-05-22,30
HF202600088,철 플러스 088,2026-강원원주-00088,메디푸드,강원특별자치도 원주시 혁신로 188,건강기능식품,액상,수입,판매중,2023-05-18,18
HF202600090,마그네슘 플러스 090,2026-강원원주-00090,오픈헬스바이오,강원특별자치도 원주시 혁신로 127,건강기능식품,츄어블정,수입,판매중,2024-09-25,24
HF202600091,칼슘 플러스 091,2026-강원원주-00091,그린웰니스,강원특별자치도 원주시 혁신로 88,건강기능식품,연질캡슐,수입,판매중지,2022-01-21,24
HF202600093,쏘팔메토열매추출물 플러스 093,2026-강원원주-00093,라이프뉴트리,강원특별자치도 원주시 혁신로 115,건강기능식품,츄어블정,국내제조,판매중,2023-08-26,24
HF202600095,엽산 플러스 095,2026-강원원주-00095,스마트바이오,강원특별자치도 원주시 혁신로 85,건강기능식품,연질캡슐,수입,판매중,2023-09-20,30
HF202600098,EPA 및 DHA 함유 유지 플러스 098,2026-강원원주-00098,바이오케어,강원특별자치도 원주시 혁신로 76,건강기능식품,캡슐,수입,판매중,2023-09-12,18
HF202600100,EPA 및 DHA 함유 유지 플러스 100,2026-강원원주-00100,오픈헬스바이오,강원특별자치도 원주시 혁신로 147,건강기능식품,연질캡슐,수입,품목변경,2024-06-21,30
