product_id,product_name,intake_method,intake_time,warning,allergen_info,storage_method,raw_materials,functional_display,barcode
HF202600028,폴리코사놀-사탕수수왁스알코올 플러스 028,"1일 2회, 1회 1포 섭취",저녁 식후,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",장 건강에 도움을 줄 수 있음,8808489236010
HF202600029,칼슘 플러스 029,"1일 2회, 1회 1포 섭취",저녁 식후,과다 섭취 시 설사 또는 위장장애 가능,복숭아 함유 가능,직사광선을 피해 서늘한 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",간 건강에 도움을 줄 수 있음,8808833889083
HF202600030,마그네슘 플러스 030,1일 1병 섭취,취침 전 제외,임산부·수유부는 섭취 전 전문가와 상담,대두 함유,고온다습한 곳을 피하여 실온 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",뼈 건강에 도움을 줄 수 있음,8802732526008
HF202600031,엽산 플러스 031,식후 물과 함께 섭취,취침 전 제외,특이체질 및 알레르기 체질은 성분 확인 후 섭취,우유 함유,고온다습한 곳을 피하여 실온 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",관절 건강에 도움을 줄 수 있음,8801247508299
HF202600032,비타민D 플러스 032,"1일 1회, 1회 1정을 물과 함께 섭취",식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,게/새우 함유 가능,고온다습한 곳을 피하여 실온 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",항산화에 도움을 줄 수 있음,8808831899893
HF202600033,쏘팔메토열매추출물 플러스 033,식후 물과 함께 섭취,식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,대두 함유,고온다습한 곳을 피하여 실온 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",간 건강에 도움을 줄 수 있음,8807846365089
HF202600034,가르시니아캄보지아추출물 플러스 034,"1일 1회, 1회 2캡슐 섭취",식전/식후 무관,수술 전후 또는 항응고제 복용자는 전문가와 상담,복숭아 함유 가능,개봉 후 냉장 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",장 건강에 도움을 줄 수 있음,8805683197659
HF202600035,코엔자임Q10 플러스 035,"1일 1회, 1회 1정을 물과 함께 섭취",식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,우유 함유,고온다습한 곳을 피하여 실온 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",피부 건강에 도움을 줄 수 있음,8806182870116
HF202600036,쏘팔메토열매추출물 플러스 036,1일 1병 섭취,취침 전 제외,특이체질 및 알레르기 체질은 성분 확인 후 섭취,대두 함유,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",피부 건강에 도움을 줄 수 있음,8804439688162
HF202600037,프로바이오틱스 플러스 037,"1일 1회, 1회 2캡슐 섭취",저녁 식후,수술 전후 또는 항응고제 복용자는 전문가와 상담,게/새우 함유 가능,개봉 후 냉장 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈행 개선에 도움을 줄 수 있음,8808952502057
HF202600038,비타민D 플러스 038,1일 1병 섭취,저녁 식후,질환자 또는 의약품 복용자는 전문가와 상담,알레르기 유발물질 없음,개봉 후 냉장 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",관절 건강에 도움을 줄 수 있음,8807973335079
HF202600039,폴리코사놀-사탕수수왁스알코올 플러스 039,식후 물과 함께 섭취,식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,복숭아 함유 가능,개봉 후 냉장 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",피부 건강에 도움을 줄 수 있음,8806509055260
HF202600040,루테인 플러스 040,"1일 1회, 1회 1정을 물과 함께 섭취",식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,게/새우 함유 가능,개봉 후 냉장 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",관절 건강에 도움을 줄 수 있음,8806484179008
HF202600041,가르시니아캄보지아추출물 플러스 041,"1일 2회, 1회 1포 섭취",아침 식후,질환자 또는 의약품 복용자는 전문가와 상담,복숭아 함유 가능,고온다습한 곳을 피하여 실온 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",기억력 개선에 도움을 줄 수 있음,8809699264134
HF202600042,철 플러스 042,1일 1병 섭취,저녁 식후,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,어린이 손이 닿지 않는 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈압 조절에 도움을 줄 수 있음,8809741628563
HF202600043,밀크씨슬추출물 플러스 043,식후 물과 함께 섭취,아침 식후,임산부·수유부는 섭취 전 전문가와 상담,우유 함유,어린이 손이 닿지 않는 곳에 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",피로 개선에 도움을 줄 수 있음,8803397657114
HF202600044,마그네슘 플러스 044,"1일 2회, 1회 1포 섭취",식후,과다 섭취 시 설사 또는 위장장애 가능,우유 함유,개봉 후 냉장 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",기억력 개선에 도움을 줄 수 있음,8804919693525
HF202600045,비타민D 플러스 045,"1일 2회, 1회 1포 섭취",식후,질환자 또는 의약품 복용자는 전문가와 상담,게/새우 함유 가능,고온다습한 곳을 피하여 실온 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",혈행 개선에 도움을 줄 수 있음,8806717963562
HF202600046,밀크씨슬추출물 플러스 046,"1일 2회, 1회 1포 섭취",취침 전 제외,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",눈 건강에 도움을 줄 수 있음,8805600836559
HF202600047,루테인 플러스 047,"1일 1회, 1회 2캡슐 섭취",취침 전 제외,특이체질 및 알레르기 체질은 성분 확인 후 섭취,알레르기 유발물질 없음,개봉 후 냉장 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",눈 건강에 도움을 줄 수 있음,8801647588523
HF202600048,밀크씨슬추출물 플러스 048,"1일 1회, 1회 2캡슐 섭취",저녁 식후,과다 섭취 시 설사 또는 위장장애 가능,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",항산화에 도움을 줄 수 있음,8805642049890
HF202600049,코엔자임Q10 플러스 049,"1일 2회, 1회 1포 섭취",아침 식후,임산부·수유부는 섭취 전 전문가와 상담,대두 함유,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",뼈 건강에 도움을 줄 수 있음,8804322338756
HF202600050,폴리코사놀-사탕수수왁스알코올 플러스 050,식후 물과 함께 섭취,아침 식후,과다 섭취 시 설사 또는 위장장애 가능,대두 함유,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈행 개선에 도움을 줄 수 있음,8808015775567
HF202600051,엽산 플러스 051,1일 1병 섭취,식전/식후 무관,과다 섭취 시 설사 또는 위장장애 가능,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",피로 개선에 도움을 줄 수 있음,8801818520766
HF202600052,폴리코사놀-사탕수수왁스알코올 플러스 052,"1일 1회, 1회 1정을 물과 함께 섭취",아침 식후,질환자 또는 의약품 복용자는 전문가와 상담,게/새우 함유 가능,개봉 후 냉장 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",혈중 콜레스테롤 개선에 도움을 줄 수 있음,8807823288650
HF202600053,코엔자임Q10 플러스 053,"1일 1회, 1회 2캡슐 섭취",식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,게/새우 함유 가능,개봉 후 냉장 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈압 조절에 도움을 줄 수 있음,8807546035453
HF202600054,마그네슘 플러스 054,1일 1병 섭취,아침 식후,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,개봉 후 냉장 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",장 건강에 도움을 줄 수 있음,8802732553940
HF202600055,EPA 및 DHA 함유 유지 플러스 055,"1일 1회, 1회 2캡슐 섭취",아침 식후,질환자 또는 의약품 복용자는 전문가와 상담,우유 함유,직사광선을 피해 서늘한 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",피로 개선에 도움을 줄 수 있음,8801725783958
HF202600056,비타민C 플러스 056,"1일 2회, 1회 1포 섭취",식후,과다 섭취 시 설사 또는 위장장애 가능,게/새우 함유 가능,직사광선을 피해 서늘한 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",눈 건강에 도움을 줄 수 있음,8803843139149
HF202600057,칼슘 플러스 057,"1일 1회, 1회 1정을 물과 함께 섭취",식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,알레르기 유발물질 없음,어린이 손이 닿지 않는 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈중 콜레스테롤 개선에 도움을 줄 수 있음,8807645527239
HF202600058,아연 플러스 058,1일 1병 섭취,아침 식후,질환자 또는 의약품 복용자는 전문가와 상담,대두 함유,개봉 후 냉장 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",피부 건강에 도움을 줄 수 있음,8807529678452
HF202600059,밀크씨슬추출물 플러스 059,식후 물과 함께 섭취,취침 전 제외,질환자 또는 의약품 복용자는 전문가와 상담,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈압 조절에 도움을 줄 수 있음,8803652992543
HF202600060,비타민C 플러스 060,"1일 2회, 1회 1포 섭취",식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,알레르기 유발물질 없음,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",면역 기능에 도움을 줄 수 있음,8808636275393
HF202600061,철 플러스 061,식후 물과 함께 섭취,아침 식후,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,개봉 후 냉장 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",눈 건강에 도움을 줄 수 있음,8807649205361
HF202600062,프로바이오틱스 플러스 062,"1일 1회, 1회 2캡슐 섭취",식전/식후 무관,임산부·수유부는 섭취 전 전문가와 상담,우유 함유,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",피부 건강에 도움을 줄 수 있음,8803122160665
HF202600063,아연 플러스 063,"1일 1회, 1회 1정을 물과 함께 섭취",취침 전 제외,특이체질 및 알레르기 체질은 성분 확인 후 섭취,대두 함유,개봉 후 냉장 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",간 건강에 도움을 줄 수 있음,8806566372886
HF202600064,프로바이오틱스 플러스 064,1일 1병 섭취,식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,우유 함유,직사광선을 피해 서늘한 곳에 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",항산화에 도움을 줄 수 있음,8806638034087
HF202600067,EPA 및 DHA 함유 유지 플러스 067,"1일 2회, 1회 1포 섭취",식전/식후 무관,과다 섭취 시 설사 또는 위장장애 가능,알레르기 유발물질 없음,고온다습한 곳을 피하여 실온 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",장 건강에 도움을 줄 수 있음,8801684598046
HF202600068,철 플러스 068,1일 1병 섭취,취침 전 제외,과다 섭취 시 설사 또는 위장장애 가능,복숭아 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",체지방 감소에 도움을 줄 수 있음,8805856127658
HF202600069,쏘팔메토열매추출물 플러스 069,1일 1병 섭취,식후,과다 섭취 시 설사 또는 위장장애 가능,알레르기 유발물질 없음,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",뼈 건강에 도움을 줄 수 있음,8808108057356
HF202600071,마그네슘 플러스 071,"1일 1회, 1회 2캡슐 섭취",식전/식후 무관,임산부·수유부는 섭취 전 전문가와 상담,알레르기 유발물질 없음,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",체지방 감소에 도움을 줄 수 있음,8801234359689
HF202600072,코엔자임Q10 플러스 072,"1일 1회, 1회 2캡슐 섭취",취침 전 제외,과다 섭취 시 설사 또는 위장장애 가능,알레르기 유발물질 없음,고온다습한 곳을 피하여 실온 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",기억력 개선에 도움을 줄 수 있음,8807406579219
HF202600073,비타민D 플러스 073,"1일 1회, 1회 2캡슐 섭취",저녁 식후,임산부·수유부는 섭취 전 전문가와 상담,대두 함유,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",피부 건강에 도움을 줄 수 있음,8806921203386
HF202600074,루테인 플러스 074,"1일 1회, 1회 2캡슐 섭취",식후,과다 섭취 시 설사 또는 위장장애 가능,알레르기 유발물질 없음,어린이 손이 닿지 않는 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",관절 건강에 도움을 줄 수 있음,8807435820151
HF202600075,쏘팔메토열매추출물 플러스 075,"1일 2회, 1회 1포 섭취",식후,과다 섭취 시 설사 또는 위장장애 가능,대두 함유,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",혈행 개선에 도움을 줄 수 있음,8809743831553
HF202600076,비타민C 플러스 076,식후 물과 함께 섭취,식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,복숭아 함유 가능,개봉 후 냉장 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",피로 개선에 도움을 줄 수 있음,8808178927766
HF202600077,프로바이오틱스 플러스 077,"1일 2회, 1회 1포 섭취",저녁 식후,특이체질 및 알레르기 체질은 성분 확인 후 섭취,우유 함유,어린이 손이 닿지 않는 곳에 보관,"EPA 및 DHA 함유 유지, 젤라틴, 글리세린",피로 개선에 도움을 줄 수 있음,8807871737874
HF202600079,가르시니아캄보지아추출물 플러스 079,식후 물과 함께 섭취,취침 전 제외,임산부·수유부는 섭취 전 전문가와 상담,대두 함유,직사광선을 피해 서늘한 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",간 건강에 도움을 줄 수 있음,8808394040015
HF202600080,칼슘 플러스 080,"1일 1회, 1회 1정을 물과 함께 섭취",저녁 식후,수술 전후 또는 항응고제 복용자는 전문가와 상담,우유 함유,고온다습한 곳을 피하여 실온 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",관절 건강에 도움을 줄 수 있음,8802687477596
HF202600082,코엔자임Q10 플러스 082,1일 1병 섭취,식전/식후 무관,수술 전후 또는 항응고제 복용자는 전문가와 상담,복숭아 함유 가능,고온다습한 곳을 피하여 실온 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",눈 건강에 도움을 줄 수 있음,8809798548049
HF202600083,홍삼 플러스 083,1일 1병 섭취,취침 전 제외,과다 섭취 시 설사 또는 위장장애 가능,복숭아 함유 가능,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",장 건강에 도움을 줄 수 있음,8801551395583
HF202600085,EPA 및 DHA 함유 유지 플러스 085,"1일 2회, 1회 1포 섭취",식전/식후 무관,임산부·수유부는 섭취 전 전문가와 상담,게/새우 함유 가능,어린이 손이 닿지 않는 곳에 보관,"프로바이오틱스혼합분말, 프락토올리고당, 이산화규소",장 건강에 도움을 줄 수 있음,8808991678061
HF202600088,철 플러스 088,"1일 1회, 1회 1정을 물과 함께 섭취",식후,과다 섭취 시 설사 또는 위장장애 가능,우유 함유,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",면역 기능에 도움을 줄 수 있음,8804373835078
HF202600090,마그네슘 플러스 090,"1일 2회, 1회 1포 섭취",식전/식후 무관,특이체질 및 알레르기 체질은 성분 확인 후 섭취,복숭아 함유 가능,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",혈행 개선에 도움을 줄 수 있음,8803853978147
HF202600091,칼슘 플러스 091,1일 1병 섭취,식전/식후 무관,과다 섭취 시 설사 또는 위장장애 가능,게/새우 함유 가능,직사광선을 피해 서늘한 곳에 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",혈압 조절에 도움을 줄 수 있음,8802079501936
HF202600093,쏘팔메토열매추출물 플러스 093,"1일 1회, 1회 1정을 물과 함께 섭취",아침 식후,질환자 또는 의약품 복용자는 전문가와 상담,복숭아 함유 가능,직사광선을 피해 서늘한 곳에 보관,"밀크씨슬추출물, 덱스트린, 이산화규소",눈 건강에 도움을 줄 수 있음,8807135394336
HF202600095,엽산 플러스 095,"1일 1회, 1회 1정을 물과 함께 섭취",아침 식후,임산부·수유부는 섭취 전 전문가와 상담,복숭아 함유 가능,직사광선을 피해 서늘한 곳에 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",관절 건강에 도움을 줄 수 있음,8808137764127
HF202600098,EPA 및 DHA 함유 유지 플러스 098,"1일 2회, 1회 1포 섭취",저녁 식후,임산부·수유부는 섭취 전 전문가와 상담,게/새우 함유 가능,고온다습한 곳을 피하여 실온 보관,"루테인지아잔틴복합추출물, 해바라기유, 밀납",피로 개선에 도움을 줄 수 있음,8803788722772
HF202600100,EPA 및 DHA 함유 유지 플러스 100,1일 1병 섭취,식후,과다 섭취 시 설사 또는 위장장애 가능,게/새우 함유 가능,개봉 후 냉장 보관,"비타민혼합분말, 결정셀룰로스, 스테아린산마그네슘",피로 개선에 도움을 줄 수 있음,8807208619610
